Problem,Agent's Answer,Correct?,Correct Answer
Basic Problem C-01,3,Correct,3
Basic Problem C-02,2,Incorrect,4
Basic Problem C-03,3,Incorrect,4
Basic Problem C-04,8,Correct,8
Basic Problem C-05,2,Incorrect,3
Basic Problem C-06,1,Incorrect,7
Basic Problem C-07,2,Correct,2
Basic Problem C-08,2,Incorrect,5
Basic Problem C-09,1,Incorrect,2
Basic Problem C-10,1,Incorrect,7
Basic Problem C-11,2,Incorrect,4
Basic Problem C-12,1,Incorrect,8
Basic Problem D-01,3,Correct,3
Basic Problem D-02,1,Correct,1
Basic Problem D-03,3,Correct,3
Basic Problem D-04,1,Correct,1
Basic Problem D-05,7,Correct,7
Basic Problem D-06,1,Correct,1
Basic Problem D-07,1,Correct,1
Basic Problem D-08,1,Incorrect,4
Basic Problem D-09,3,Correct,3
Basic Problem D-10,1,Correct,1
Basic Problem D-11,3,Correct,3
Basic Problem D-12,1,Incorrect,3
Basic Problem E-01,1,Correct,1
Basic Problem E-02,7,Correct,7
Basic Problem E-03,2,Correct,2
Basic Problem E-04,3,Incorrect,8
Basic Problem E-05,5,Correct,5
Basic Problem E-06,8,Correct,8
Basic Problem E-07,4,Incorrect,3
Basic Problem E-08,1,Correct,1
Basic Problem E-09,1,Incorrect,7
Basic Problem E-10,8,Correct,8
Basic Problem E-11,5,Correct,5
Basic Problem E-12,2,Incorrect,6
Challenge Problem E-01,-1,Skipped,6
Challenge Problem E-02,-1,Skipped,7
Challenge Problem E-03,5,Correct,5
Challenge Problem E-04,-1,Skipped,5
Challenge Problem E-05,-1,Skipped,6
Challenge Problem E-06,-1,Skipped,7
Challenge Problem E-07,-1,Skipped,5
Challenge Problem E-08,1,Incorrect,7
Challenge Problem E-09,-1,Skipped,1
Challenge Problem E-10,-1,Skipped,1
Challenge Problem E-11,-1,Skipped,3
Challenge Problem E-12,-1,Skipped,5
Challenge Problem D-01,-1,Skipped,2
Challenge Problem D-02,1,Correct,1
Challenge Problem D-03,-1,Skipped,1
Challenge Problem D-04,-1,Skipped,6
Challenge Problem D-05,-1,Skipped,2
Challenge Problem D-06,2,Incorrect,6
Challenge Problem D-07,-1,Skipped,4
Challenge Problem D-08,-1,Skipped,1
Challenge Problem D-09,-1,Skipped,7
Challenge Problem D-10,-1,Skipped,5
Challenge Problem D-11,-1,Skipped,5
Challenge Problem D-12,-1,Skipped,6
